dataset,model,train_or_logic_acc,test_acc,extra_file,extra_vis
and,task1_linear,1.000000,,,
and,task2_tree,1.000000,,,
and,task3_perceptron,1.000000,,,
and,task4_one_hidden_nn,0.750000,,,
or,task1_linear,1.000000,,,
or,task2_tree,1.000000,,,
or,task3_perceptron,1.000000,,,
or,task4_one_hidden_nn,1.000000,,,
not,task1_linear,1.000000,,,
not,task2_tree,1.000000,,,
not,task3_perceptron,1.000000,,,
not,task4_one_hidden_nn,1.000000,,,
xor,task1_linear,0.750000,,,
xor,task2_tree,0.500000,,,
xor,task3_perceptron,0.500000,,,
xor,task4_one_hidden_nn,1.000000,,,
mnist,task1_linear,0.896800,0.850000,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task1_linear.txt,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task1_linear.svg
mnist,task2_tree,0.898200,0.752000,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task2_tree.txt,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task2_tree.svg
mnist,task3_perceptron,0.816200,0.798000,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task3_perceptron.txt,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task3_perceptron.svg
mnist,task4_one_hidden_nn,0.926800,0.884000,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task4_one_hidden_nn.txt,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task4_one_hidden_nn.svg
mnist,task5_deep_nn,0.952400,0.911000,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task5_deep_nn.txt,c:\Users\25747\Desktop\MachineLearning\FinalPhase\res\mnist_confusion_task5_deep_nn.svg
