rows=true labels, columns=predicted labels
true\pred     0     1     2     3     4     5     6     7     8     9
        0    78     0     0     1     0     3     2     0     0     1
        1     0   121     0     1     0     2     1     0     1     0
        2     1     2    96     2     1     0     1     4     6     3
        3     1     2     1    81     0    15     1     3     1     2
        4     0     0     0     0    88     0     4     2     1    15
        5     1     0     0     1     2    77     2     1     1     2
        6     3     0     0     0     3     3    78     0     0     0
        7     0     5     2     1     0     0     0    80     1    10
        8     0     0     0     4     2     7     1     1    69     5
        9     0     1     0     1     3     0     0     5     2    82
