rows=true labels, columns=predicted labels
true\pred     0     1     2     3     4     5     6     7     8     9
        0    79     0     1     3     0     0     2     0     0     0
        1     0   120     0     1     0     3     1     0     0     1
        2     4     1    83     5     4     1     1     8     6     3
        3     0     6     5    66     5    13     0     9     2     1
        4     1     1     0     4    86     1     4     0     3    10
        5     0     1     6     8     1    58     3     3     5     2
        6     2     0     3     1     7     3    70     0     0     1
        7     0     1     5     4     8     1     0    71     1     8
        8     1     1     3    11     2     2     3     6    51     9
        9     1     1     0     4     8     3     1     3     5    68
